WB,ET0,SWC,ET,DELTA,F,f,PERC,Q,InF,Loss,PerLoss
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.96,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.96,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.01,0.95914,0.0086,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.023,0.9505399999999999,0.01978,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.038,0.9307599999999999,0.03268,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.051,0.8980799999999999,0.043859999999999996,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.061,0.8542199999999999,0.05246,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.063,0.8017599999999999,0.05418,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.063,0.7475799999999999,0.05418,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.058,0.6933999999999999,0.04988,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.043,0.6435199999999999,0.03698,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.029,0.6065399999999999,0.02494,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.012,0.5815999999999999,0.01032,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.5712799999999999,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.5695599999999998,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
